SPECIES	BARK_VOL_PCT	WOOD_SPGR	BARK_SPGR	MC_WOOD	MC_BARK
591	15.00	0.50	0.50	82.70	89.10
600	15.00	0.44	0.37	92.00	88.50
601	15.00	0.36	0.40	104.77	88.30
602	15.00	0.51	0.33	79.11	89.39
603	15.00	0.44	0.37	92.00	88.50
604	15.00	0.44	0.37	92.00	88.50
605	15.00	0.44	0.37	92.00	88.50
606	15.00	0.44	0.37	92.00	88.50
611	15.00	0.46	0.42	74.19	90.78
621	18.00	0.40	0.38	95.00	123.52
631	19.00	0.58	0.62	79.60	60.25
641	15.00	0.76	0.60	30.73	60.25
650	15.00	0.43	0.44	91.75	92.75
651	15.00	0.44	0.44	78.47	89.38
652	15.00	0.46	0.44	105.54	89.38
653	15.00	0.42	0.44	86.97	103.95
654	15.00	0.43	0.44	91.75	92.75
655	15.00	0.40	0.44	96.32	89.38
657	15.00	0.43	0.44	91.75	92.75
658	15.00	0.43	0.44	91.75	92.75
660	15.00	0.61	0.50	78.00	69.88
661	15.00	0.61	0.50	78.00	70.00
662	15.00	0.61	0.50	78.00	70.00
663	15.00	0.61	0.50	78.00	70.00
664	15.00	0.61	0.50	78.00	70.00
680	15.16	0.52	0.53	75.13	80.49
681	15.16	0.52	0.53	75.13	80.49
682	15.16	0.52	0.53	75.13	80.49
683	15.16	0.52	0.53	75.13	80.49
684	15.16	0.52	0.53	75.13	80.49
690	14.00	0.46	0.51	98.00	76.50
691	14.00	0.46	0.58	95.08	82.36
692	14.00	0.46	0.51	98.00	76.50
693	14.00	0.46	0.44	101.00	71.18
694	14.00	0.46	0.51	98.00	76.50
701	15.00	0.63	0.50	52.61	89.10
711	15.00	0.50	0.60	69.88	60.25
712	15.16	0.52	0.53	75.13	80.49		
720	15.16	0.52	0.53	75.13	80.49
721	15.16	0.52	0.53	75.13	80.49
722	15.16	0.52	0.53	75.13	80.49
729	8.00	0.46	0.60	81.00	84.00
730	8.00	0.46	0.60	81.00	84.00
731	8.00	0.46	0.60	81.15	84.30
732	8.00	0.46	0.60	81.00	84.00
740	18.44	0.35	0.46	106.33	87.67
741	22.00	0.31	0.50	106.77	85.90
742	22.00	0.37	0.38	116.56	56.02
743	14.40	0.36	0.59	91.41	90.13
744	18.44	0.35	0.46	106.33	87.67
745	18.44	0.35	0.46	106.33	87.67
746	14.40	0.35	0.50	128.94	101.92
747	16.30	0.31	0.40	137.80	100.32
748	22.00	0.41	0.41	56.34	91.53
749	18.44	0.35	0.46	106.33	87.67
752	18.44	0.35	0.46	106.33	87.67
753	18.44	0.35	0.46	106.33	87.67
755	15.00	0.78	0.65	21.21	40.53
756	15.00	0.78	0.65	21.00	41.00
757	15.00	0.78	0.65	21.00	41.00
758	15.00	0.78	0.65	21.00	41.00
760	9.19	0.47	0.63	53.00	91.00
761	9.19	0.47	0.63	53.00	91.00
762	9.20	0.47	0.63	53.44	90.77
763	9.19	0.47	0.63	53.00	91.00
764	9.19	0.47	0.63	53.00	91.00
765	9.19	0.47	0.63	53.00	91.00
766	9.19	0.47	0.63	53.00	91.00
768	9.19	0.47	0.63	53.00	91.00
769	9.19	0.47	0.63	53.00	91.00
770	9.19	0.47	0.63	53.00	91.00
771	9.19	0.47	0.63	53.00	91.00
772	9.19	0.47	0.63	53.00	91.00
773	9.19	0.47	0.63	53.00	91.00
774	9.19	0.47	0.63	53.00	91.00
800	19.12	0.59	0.58	75.27	83.00
801	19.12	0.59	0.58	75.27	83.00
802	16.00	0.60	0.56	68.26	88.87
803	19.12	0.59	0.58	75.27	83.00
804	16.00	0.64	0.55	57.75	89.40
805	16.00	0.70	0.64	73.98	90.29
806	22.00	0.60	0.71	70.93	48.97
807	19.12	0.59	0.58	75.27	83.00
808	19.12	0.59	0.58	75.27	83.00
809	19.12	0.59	0.58	75.27	83.00
810	19.12	0.59	0.58	75.27	83.00
811	19.12	0.59	0.58	75.27	83.00
812	22.00	0.52	0.68	97.23	48.47
813	22.00	0.61	0.63	68.13	90.77
814	22.00	0.61	0.63	65.50	65.61
815	16.00	0.64	0.63	57.75	65.34
816	19.12	0.59	0.58	75.27	83.00
817	19.12	0.59	0.58	75.27	83.00
818	22.00	0.51	0.45	101.09	88.75
