DIB_IN	VOL_8	VOL_12	VOL_16	VOL_20	VOL_24	VOL_28	
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	0	0	10	10	10	10
4	10	10	10	10	20	20
5	10	10	20	20	30	30
6	10	10	20	20	30	30
7	10	20	30	30	40	50
8	10	20	30	40	40	50
9	20	30	40	50	60	70
10	30	40	60	70	90	100
11	30	40	70	80	100	120
12	40	60	80	100	120	140
13	50	70	100	120	150	170
14	60	90	110	140	170	200
15	70	110	140	180	210	250
16	80	120	160	200	240	280
17	90	140	180	230	280	320
18	110	160	210	270	320	370
19	120	180	240	300	360	420
20	140	210	280	350	420	490
21	150	230	300	380	460	530
22	170	250	330	420	500	580
23	190	280	380	470	560	660
24	200	300	400	500	610	710
